Date,Daily
2020-05-30,0
2020-05-31,977
2020-06-01,997
2020-06-02,1142
2020-06-03,980
2020-06-04,943
2020-06-05,950
2020-06-06,992
2020-06-07,969
2020-06-08,941
2020-06-09,1067
2020-06-10,832
2020-06-11,980
2020-06-12,920
2020-06-13,1062
2020-06-14,938
2020-06-15,919
2020-06-16,1151
2020-06-17,826
2020-06-18,878
2020-06-19,907
2020-06-20,974
2020-06-21,914
2020-06-22,937
2020-06-23,1038
2020-06-24,864
2020-06-25,565
2020-06-26,1258
2020-06-27,1053
2020-06-28,932
2020-06-29,920
2020-06-30,1136
2020-07-01,1103
2020-07-02,1188
2020-07-03,1087
2020-07-04,1142
2020-07-05,927
2020-07-06,926
2020-07-07,1264
2020-07-08,935
2020-07-09,965
2020-07-10,1034
2020-07-11,1095
2020-07-12,908
2020-07-13,928
2020-07-14,1391
2020-07-15,930
2020-07-16,1036
2020-07-17,956
2020-07-18,1063
2020-07-19,945
2020-07-20,929
2020-07-21,1207
2020-07-22,992
2020-07-23,1042
2020-07-24,1026
2020-07-25,1067
2020-07-26,913
2020-07-27,916
2020-07-28,1230
2020-07-29,1005
2020-07-30,1140
2020-07-31,1163
2020-08-01,1082
2020-08-02,944
2020-08-03,929
2020-08-04,1533
2020-08-05,1158
2020-08-06,1004
2020-08-07,1190
2020-08-08,1239
2020-08-09,923
2020-08-10,928
2020-08-11,1386
2020-08-12,1019
2020-08-13,1188
2020-08-14,1107
2020-08-15,1146
2020-08-16,909
2020-08-17,907
2020-08-18,1118
2020-08-19,1083
2020-08-20,991
2020-08-21,1073
2020-08-22,1210
2020-08-23,949
2020-08-24,917
2020-08-25,1277
2020-08-26,1118
2020-08-27,1115
2020-08-28,1111
2020-08-29,1054
2020-08-30,904
2020-08-31,911
2020-09-01,1406
2020-09-02,1027
2020-09-03,1004
2020-09-04,1059
2020-09-05,1091
2020-09-06,901
2020-09-07,895
2020-09-08,1076
2020-09-09,844
2020-09-10,1231
2020-09-11,1167
2020-09-12,988
2020-09-13,879
2020-09-14,903
2020-09-15,1489
2020-09-16,1316
2020-09-17,1223
2020-09-18,1252
2020-09-19,1214
2020-09-20,884
2020-09-21,855
2020-09-22,1419
2020-09-23,1191
2020-09-24,1066
2020-09-25,1097
2020-09-26,1043
2020-09-27,881
2020-09-28,881
2020-09-29,1593
2020-09-30,1127
2020-10-01,1130
2020-10-02,1202
2020-10-03,1226
2020-10-04,873
2020-10-05,879
2020-10-06,1575
2020-10-07,1158
2020-10-08,1172
2020-10-09,1197
2020-10-10,1067
2020-10-11,915
2020-10-12,917
2020-10-13,-855
2020-10-14,2987
2020-10-15,-137
2020-10-16,-105
2020-10-17,4507
2020-10-18,924
2020-10-19,908
2020-10-20,1783
2020-10-21,1236
2020-10-22,1368
2020-10-23,1367
2020-10-24,1391
2020-10-25,958
2020-10-26,947
2020-10-27,1778
2020-10-28,1371
2020-10-29,1400
2020-10-30,1274
2020-10-31,1317
2020-11-01,977
2020-11-02,982
2020-11-03,624
2020-11-04,2290
2020-11-05,1691
2020-11-06,1546
2020-11-07,1483
2020-11-08,1029
2020-11-09,984
2020-11-10,1858
2020-11-11,1590
2020-11-12,1441
2020-11-13,1434
2020-11-14,1330
2020-11-15,1003
2020-11-16,1031
2020-11-17,1924
2020-11-18,1324
2020-11-19,1395
2020-11-20,1414
2020-11-21,1414
2020-11-22,977
2020-11-23,1033
2020-11-24,1752
2020-11-25,1298
2020-11-26,1242
2020-11-27,0
2020-11-28,2544
2020-11-29,1014
2020-11-30,999
2020-12-01,-1011
2020-12-02,4051
2020-12-03,1399
2020-12-04,1365
2020-12-05,1429
2020-12-06,1043
2020-12-07,1076
2020-12-08,282
2020-12-09,-361
2020-12-10,3092
2020-12-11,1945
2020-12-12,1526
2020-12-13,1052
2020-12-14,1072
2020-12-15,2110
2020-12-16,1316
2020-12-17,1492
2020-12-18,1321
2020-12-19,1371
2020-12-20,1072
2020-12-21,1068
2020-12-22,1618
2020-12-23,1326
2020-12-24,1356
2020-12-25,-7
2020-12-26,-28
2020-12-27,1157
2020-12-28,1083
2020-12-29,2451
2020-12-30,1804
2020-12-31,1592
2021-01-01,39
2021-01-02,-10
2021-01-03,1130
2021-01-04,1127
2021-01-05,2520
2021-01-06,0
2021-01-07,0
2021-01-08,0
2021-01-09,0
2021-01-10,0
2021-01-11,7957
2021-01-12,1894
2021-01-13,1827
2021-01-14,1945
2021-01-15,1793
2021-01-16,1784
2021-01-17,1253
2021-01-18,1184
2021-01-19,2393
2021-01-20,1923
2021-01-21,1700
2021-01-22,1870
2021-01-23,1823
2021-01-24,1273
2021-01-25,1228
2021-01-26,2579
2021-01-27,1962
2021-01-28,1713
2021-01-29,1833
2021-01-30,1738
2021-01-31,1223
2021-02-01,1200
2021-02-02,2616
2021-02-03,1740
2021-02-04,1736
2021-02-05,1679
2021-02-06,1703
2021-02-07,1227
2021-02-08,1203
2021-02-09,2322
2021-02-10,1460
2021-02-11,1635
2021-02-12,1551
2021-02-13,1519
2021-02-14,1244
2021-02-15,1216
2021-02-16,1894
2021-02-17,1162
2021-02-18,1496
2021-02-19,1378
2021-02-20,1479
2021-02-21,1182
2021-02-22,1151
2021-02-23,1477
2021-02-24,1265
2021-02-25,1276
2021-02-26,1326
2021-02-27,1276
2021-02-28,1175
2021-03-01,1144
2021-03-02,1022
2021-03-03,1231
2021-03-04,1424
2021-03-05,1260
2021-03-06,1190
2021-03-07,1150
2021-03-08,1151
2021-03-09,1312
2021-03-10,1044
2021-03-11,1122
2021-03-12,1138
2021-03-13,1215
2021-03-14,1131
2021-03-15,1145
2021-03-16,1344
2021-03-17,1051
2021-03-18,1099
2021-03-19,1208
2021-03-20,649
